Name (English),Region of Focus,Language,Entity owner (English),Parent entity (English),X (Twitter) handle,X (Twitter) URL,X (Twitter) Follower #,Facebook page,Facebook URL,Facebook Follower #,Instragram page,Instagram URL,Instagram Follower #,Threads account,Threads URL,Threads Follower #,YouTube account,YouTube URL,YouTube Subscriber #,TikTok account,TikTok URL,TikTok Subscriber #
Yang Xinmeng (Abby Yang),UK,English,China Media Group (CMG),Central Publicity Department,_bubblyabby_,https://twitter.com/_bubblyabby_,1678,itsAbby-103043374799622,https://www.facebook.com/itsAbby-103043374799622,1387432,_bubblyabby_,https://www.instagram.com/_bubblyabby_/,9507,_bubblyabby_,https://www.threads.net/@_bubblyabby_,197.0,itsAbby,https://www.youtube.com/itsAbby,4680,_bubblyabby_,https://www.tiktok.com/@_bubblyabby_,660.0
CGTN Culture Express,UK,English,China Media Group (CMG),Central Publicity Department,_cultureexpress,https://twitter.com/_cultureexpress,2488,,,,_cultureexpress/,https://www.instagram.com/_cultureexpress/,635,,,,,,,,,
All-China Students' Federation,China,Chinese,All-China Students' Federation,Central Committee of the Communist Youth League,ACSF1919,https://twitter.com/ACSF1919,5136,,,,,,,,,,,,,,,
Chen Zhong (Dechinghutay / Ghoti),Afghanistan,Pashto,China Media Group (CMG),Central Publicity Department,afghanchina,https://twitter.com/afghanchina,1800,dechinghutay,https://www.facebook.com/dechinghutay/,"1,600,000",,,,,,,dechinghutay,https://www.youtube.com/channel/UCXl9X2fi65wKf65r13efAGQ,695,dechinghutay,https://www.tiktok.com/@dechinghutay,326100.0
Yang Sheng,UK,English,People's Daily Press,Central Committee of the Chinese Communist Party,AlexYsalex17,https://twitter.com/AlexYsalex17,2821,,,,,,,,,,,,,,,
Yunnan Gateway,Yunnan,Chinese,Yunnan Daily Press Group,State Council Information Office (SCIO),Amazing_Yunnan,https://twitter.com/Amazing_Yunnan,12400,,,,,,,,,,,,,,,
Chen Xu,Switzerland,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_ChenXu,https://twitter.com/Amb_ChenXu,12600,,,,,,,,,,,,,,,
Li Song,Austria,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_LiSong,https://twitter.com/Amb_LiSong,5972,,,,,,,,,,,,,,,
Lu Kang,Indonesia,Bahasa Indonesia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_LuKang,https://twitter.com/Amb_LuKang,40600,,,,,,,,,,,,,,,
Zhang Yiming,UAE,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_Yiming,https://twitter.com/Amb_Yiming,20300,,,,amb_yiming,https://www.instagram.com/amb_yiming/,19,,,,,,,,,
Zhu Jing,Germany,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_ZhuJing,https://twitter.com/Amb_ZhuJing,18500,,,,,,,,,,,,,,,
Chinese Embassy in France,France,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbassadeChine,https://twitter.com/AmbassadeChine,63800,AmbassadeChine,https://www.facebook.com/AmbassadeChine,61000,ambassadedechine,https://www.instagram.com/ambassadedechine/,2593,,,,,,,ambassadedechine,https://www.tiktok.com/@ambassadedechine,168600.0
Liu Yuxi,African Union,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Ambassador_Liu,https://twitter.com/Ambassador_Liu,11200,,,,,,,,,,,,,,,
