Unnamed: 0,username,content,date,likes,retweets,replies,language,topic
0,AlexYsalex17,"When I talk to Israeli people about current situation in #Gaza, I find a key difference between us: They consider revenge and eliminating #Hamas are more important than avoiding civilian casualties, but we think the opposite... So what do you guys think?",Nov 2,16,0,5,en,0
1,AlexYsalex17,"and with the help of Weibo, they eventually retrieve the password of the account and started to release videos since yesterday… Now the mainstream public opinion in China is showing overwhelming support to Palestine and condemning #IsraelAttack against #Palestine",Oct 19,17,4,2,en,0
2,AlexYsalex17,"In China, Israeli Embassy has paid a lot of efforts to increase their media presence by release videos and photos about Hamas attacks on Chinese social media, while the Palestinian Embassy just realized they have an account of Sina Weibo (China’s X-like social media) yesterday...",Oct 19,18,5,2,en,0
3,AlexYsalex17,"Our reporter 
@AlexYsalex17
 takes a shot of 
@NicolasMaduro
 in #Venezuela Embassy in Beijing today, who showcases his #Huawei foldable phone, drawing an applause.",Sep 13,18,3,2,en,0
4,AlexYsalex17,"Thank you very much for answering the question from the Global Times President 
@NicolasMaduro
,  and I hope our news paper to be a part of your good memory in China.",Sep 14,33,1,9,en,0
5,AlexYsalex17,"#FukushimaWaterRelease 
The Kishida administration of Japan only obeys to US order, so it can ignore the opposition from its own people and other neighboring countries, but why the US tolerates this extremely irresponsible and ridiculous decision?",Aug 24,55,7,4,en,0
6,AlexYsalex17,"Congratulations to India, one more country lands on the moon! #IndiaOnTheMoon #MoonLanding",Aug 23,19,1,5,en,0
7,AlexYsalex17,"This South Korean cartoonist has thorough and accurate understanding over the current relations among the US, Japan and South Korea, as well as the latest deal signed by 
@JoeBiden
 ,
@kishida230
 and
@President_KR
 in Camp David earlier this month",Aug 22,19,2,2,en,0
8,AlexYsalex17,"We do care about Hawaii Caraline, and we are looking for survivors who want to speak out... but it seems like you guys care more about defending poor response of US government and military that expose their incompetence in handling the horrific #HawaiiWildfires",Aug 22,22,2,1,en,0
9,AlexYsalex17,"Caroline...maybe you are the one who didn't read the article, as the author of the article you shared on your first tweet, I'm telling you that we are just telling the truth that you guys in America pay more attention to Ukraine or Trump when many people in Hawaii get burned",Aug 22,17,1,0,en,0
10,AlexYsalex17,"Truly embarrassing for 
@ChingteLai
 , as even those former senior US officials who previously showed high-profile encouragement to #Taiwan separatists while in office, such as 
@SpeakerPelosi
  and 
@mikepompeo
 , did not show up to support Lai this time.",Aug 18,19,2,1,en,0
11,AlexYsalex17,"Chinese are paying attention to #HawaiiWildfire, as the hashtags on Sina Weibo about #hawaiifires  have received more than 71.52 million views yesterday... Some said the poor response of the US 'unlike a developed country'",Aug 16,18,1,4,en,0
12,AlexYsalex17,"There is a saying at the begining of this year:
If Russia cannot defeat Ukraine in 2022, it means Russia is not as powerful as expected...
If West cannot help Ukraine to defeat Russia in 2023, it means West is not as powerful as expected...

Pyongyang is paying attention...",Aug 10,14,0,9,en,0
13,AlexYsalex17,"A North Korea's latest military meeting analyzed the military moves of its adversaries, and decided on the plans for ""offensive military countermeasures to thoroughly deter them."" 
This could probably mean that, Pyongyang is paying close attention to what is happening in Ukraine",Aug 10,11,1,0,en,0
14,AlexYsalex17,"I haven't checked all of these data, but I'm pretty sure that the last data has underestimated our Indian friends",Aug 10,12,1,1,en,0
15,AlexYsalex17,Is this a prediction about #BRICS?,Aug 10,11,0,1,en,1
16,AlexYsalex17,"This is my trip to Guizhou for the #Cunchao in Rongjiang County, or the Village Super League in June...through this excited video about football and the villagers who become ""super stars"" among locals you can see what is really happening in China's rural areas",Aug 10,28,1,2,en,0
