username,entityOwner,parentEntity,focusRegion,language,username,bio,joined,followers
AlexYsalex17,People's Daily Press,Central Committee of the Chinese Communist Party,Anglosphere,English,AlexYsalex17,"Chief reporter at 
@globaltimesnews
.  Welcome any question about China, Chinese military, China-US relations and international politics. Studied in UK for years",Joined August 2016,2821
ACSF1919,All-China Students' Federation,Central Committee of the Communist Youth League,China,Chinese,ACSF1919,中华全国学生联合会（简称“全国学联”，英文译名为“All-China Students’ Federation”，英文缩写为“ACSF”）是中国共产党领导下的中国各类学校和科研教育机构的学生会、研究生会，以及国外中国留学生团体的联合组织。,Joined February 2020,5136
afghanchina,China Media Group (CMG),Central Publicity Department,Afghanistan,Pashto,afghanchina,زه غوټۍ یم، اوس په بېجېنګ کې اوسېږم، راځئ له ما سره اصلي او ښکلی چين وګورئ!,Joined October 2020,1800
Amazing_Yunnan,Yunnan Daily Press Group,State Council Information Office (SCIO),Yunnan,Chinese,Amazing_Yunnan,"Art, Photo, News",Joined July 2016,12400
AmbassadeChine,Ministry of Foreign Affairs,Ministry of Foreign Affairs,France,French,AmbassadeChine,Ambassade de Chine en France，中国驻法国大使馆官方推特账号,Joined August 2019,63800
AmbassadorHuang,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Cyprus,English,AmbassadorHuang,Former Chinese Ambassador to Cyprus ,Joined February 2020,2534
AmbassadorLei,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Lesotho,English,AmbassadorLei,Chinese Ambassador to Lesotho,Joined March 2020,1470
Ambassador_Liu,Ministry of Foreign Affairs,Ministry of Foreign Affairs,African Union,English,Ambassador_Liu,Special Representative of the Chinese Government on African Affairs,Joined October 2019,11200
AmbChangHua,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Iran,Persian,AmbChangHua,Ambassador of China to the Islamic Republic of Iran,Joined October 2019,26400
AmbChenBo,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Serbia,Serbian,AmbChenBo,Ambasadorka Kine u Srbiji ,Joined March 2020,12900
AmbChenWeiqing,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Saudi Arabia,Arabic,AmbChenWeiqing,Ambassador of China to Saudi Arabia Representative of China to OIC|سفير الصين لدى المملكة العربية السعودية ممثل الصين لدى منظمة التعاون الإسلامي,Joined July 2019,83700
AmbChineBurundi,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Burundi,French,AmbChineBurundi,"Twitter officiel de l'Ambassade de la République Populaire de Chine en République du Burundi, 中国驻布隆迪大使馆官方推特账号",Joined June 2019,4651
AmbChineCmr,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Cameroon,French,AmbChineCmr,Compte officiel de l'Ambassade de Chine au Cameroun,Joined December 2019,3147
AmbCHINEenRDC,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Dem. Rep. of Congo,French,AmbCHINEenRDC,Ambassade de Chine en RDC中国驻刚果（金）大使馆,Joined January 2020,17400
ambchinetchad,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chad,French,ambchinetchad,"中华人民共和国驻乍得共和国大使馆
Ambassade de la République Populaire de Chine en République du Tchad",Joined September 2019,5478
AmbCina,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Italy,Italian,AmbCina,"Pagina ufficiale.
Seguici su Tiktok: http://tiktok.com/@ambcina
su  IG: http://instagram.com/ambcina/?hl=zh…
su FB: https://facebook.com/chineseembassyitaly…",Joined May 2018,48800
AmbCuiTiankai,Ministry of Foreign Affairs,Ministry of Foreign Affairs,USA,English,AmbCuiTiankai,Former Chinese Ambassador to the US,Joined June 2019,137100
AmbDongXiaojun,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Bulgaria,English,AmbDongXiaojun,Chinese Ambassador to Bulgaria,Joined May 2020,8993
AmbFangQiu,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Trinidad and Tobago,English,AmbFangQiu,"Chinese Ambassador to the Republic of Trinidad and Tobago
Facebook: https://facebook.com/fang.qiu.9847/",Joined October 2020,1809
AmbJiaGuide,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Italy,Italian,AmbJiaGuide,中国驻意大利大使 Chinese Ambassador to Italy,Joined December 2021,6878
AmbLiaoLiqiang,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Egypt,Arabic,AmbLiaoLiqiang,Chinese Ambassador to Egypt,Joined December 2019,16500
AmbLiuGuangYuan,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Poland,Polish,AmbLiuGuangYuan,"Former Chinese Ambassador to Kenya, Poland",Joined March 2020,5596
AmbLiuQuan,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Suriname,English,AmbLiuQuan,"Ambassador of the People's Republic of China to the Republic of Suriname
Personal views only",Joined September 2019,13700
AmbLiuXiaoMing,Ministry of Foreign Affairs,Ministry of Foreign Affairs,South Korea,English,AmbLiuXiaoMing,"中国政府朝鲜半岛事务特别代表，前驻英国、朝鲜、埃及大使，Special Representative of the Chinese Government on Korean Peninsula Affairs，Former Chinese Ambassador to Egypt, the DPRK and the UK",Joined October 2019,329400
AmbNong,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Pakistan,English,AmbNong,Chinese Ambassador to Pakistan.,Joined October 2020,61200
AmbQinGang,Ministry of Foreign Affairs,Ministry of Foreign Affairs,USA,English,AmbQinGang,11th Chinese Ambassador to the United States,Joined July 2021,288500
AmbWuJianghao,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,AmbWuJianghao,中国駐日本大使,Joined March 2023,4587
AmbXieFeng,Ministry of Foreign Affairs,Ministry of Foreign Affairs,USA,English,AmbXieFeng,12th Chinese Ambassador to the United States,Joined May 2023,19400
AmbZhengZeguang,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UK,English,AmbZhengZeguang,Chinese Ambassador to the United Kingdom,Joined June 2021,8481
AmbZhouJian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Qatar,English,AmbZhouJian, Chinese Ambassador to the State of Qatar,Joined February 2020,6682
Amb_ChenXu,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Switzerland,German,Amb_ChenXu,.,Joined December 2019,12600
Amb_LiSong,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Austria,German,Amb_LiSong,Permanent Representative of China to the UN Office and other International Organizations in Vienna,Joined June 2020,5972
Amb_LuKang,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Indonesia,Bahasa Indonesia,Amb_LuKang,"中国驻印尼大使
Chinese Ambassador to Indonesia",Joined April 2022,40600
Amb_Yiming,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UAE,Arabic,Amb_Yiming,"Ambassador of China to the United Arab Emirates

   FB：http://facebook.com/yiming.zhang.7…

   INS：http://instagram.com/amb_yiming/",Joined September 2019,20300
